STATE,DISTRICT,years,max_murder
"ANDHRA PRADESH",ADILABAD,2001,101
"ANDHRA PRADESH",ANANTAPUR,2001,151
"ANDHRA PRADESH",CUDDAPAH,2001,80
"ANDHRA PRADESH","EAST GODAVARI",2001,82
"ANDHRA PRADESH","GUNTAKAL RLY.",2001,3
"ANDHRA PRADESH",GUNTUR,2001,182
"ANDHRA PRADESH","HYDERABAD CITY",2001,111
"ANDHRA PRADESH",KARIMNAGAR,2001,162
"ANDHRA PRADESH",KHAMMAM,2001,93
"ANDHRA PRADESH",KRISHNA,2001,65
"ANDHRA PRADESH",KURNOOL,2001,133
"ANDHRA PRADESH",MAHABOOBNAGAR,2001,157
"ANDHRA PRADESH",NALGONDA,2001,122
"ANDHRA PRADESH",NELLORE,2001,89
"ANDHRA PRADESH",NIZAMABAD,2001,106
"ANDHRA PRADESH",PRAKASHAM,2001,102
"ANDHRA PRADESH","RANGA REDDY",2001,214
"ANDHRA PRADESH","SECUNDERABAD RLY.",2001,6
"ANDHRA PRADESH",SRIKAKULAM,2001,38
"ANDHRA PRADESH",VIJAYAWADA,2001,53
"ANDHRA PRADESH","VIJAYAWADA RLY.",2001,2
"ANDHRA PRADESH","VISAKHA RURAL",2001,58
"ANDHRA PRADESH",VISAKHAPATNAM,2001,22
"ANDHRA PRADESH",VIZIANAGARAM,2001,33
"ANDHRA PRADESH",WARANGAL,2001,158
"ANDHRA PRADESH","WEST GODAVARI",2001,77
"ARUNACHAL PRADESH",CHANGLANG,2001,11
"ARUNACHAL PRADESH","KAMENG WEST",2001,4
"ARUNACHAL PRADESH",LOHIT,2001,16
"ARUNACHAL PRADESH","SIANG EAST",2001,7
"ARUNACHAL PRADESH","SIANG UPPER",2001,1
"ARUNACHAL PRADESH","SIANG WEST",2001,5
"ARUNACHAL PRADESH","SUBANSIRI LOWER",2001,8
ASSAM,BARPETA,2001,64
ASSAM,BONGAIGAON,2001,45
ASSAM,C.I.D.,2001,0
ASSAM,CACHAR,2001,52
ASSAM,DARRANG,2001,61
ASSAM,DHEMAJI,2001,15
ASSAM,DIBRUGARH,2001,110
ASSAM,G.R.P.,2001,13
ASSAM,GOALPARA,2001,28
ASSAM,"GUWAHATI CITY",2001,71
ASSAM,HAILAKANDI,2001,18
ASSAM,JORHAT,2001,40
ASSAM,KAMRUP,2001,37
ASSAM,KARIMGANJ,2001,32
ASSAM,KOKRAJHAR,2001,87
ASSAM,LAKHIMPUR,2001,26
ASSAM,MORIGAON,2001,20
ASSAM,N.C.HILLS,2001,17
ASSAM,NAGAON,2001,95
ASSAM,NALBARI,2001,79
ASSAM,SIBSAGAR,2001,59
ASSAM,SONITPUR,2001,86
ASSAM,TINSUKIA,2001,107
BIHAR,ARARIA,2001,47
BIHAR,AURANGABAD,2001,74
BIHAR,BAGAHA,2001,34
BIHAR,BEGUSARAI,2001,124
BIHAR,BETTIAH,2001,66
BIHAR,BHABHUA,2001,41
BIHAR,BHAGALPUR,2001,128
BIHAR,BHOJPUR,2001,135
BIHAR,BUXAR,2001,56
BIHAR,GAYA,2001,200
BIHAR,JAMUI,2001,67
BIHAR,JEHANABAD,2001,73
BIHAR,KATIHAR,2001,60
BIHAR,KHAGARIA,2001,72
BIHAR,KISHANGANJ,2001,25
BIHAR,MADHUBANI,2001,35
BIHAR,MOTIHARI,2001,114
BIHAR,MUNGER,2001,51
BIHAR,MUZAFFARPUR,2001,153
BIHAR,NALANDA,2001,208
BIHAR,NAUGACHIA,2001,36
BIHAR,PATNA,2001,434
BIHAR,"PATNA RLY.",2001,24
BIHAR,PURNEA,2001,104
BIHAR,ROHTAS,2001,127
BIHAR,SARAN,2001,137
BIHAR,SIWAN,2001,116
CHHATTISGARH,BILASPUR,2001,99
CHHATTISGARH,BIZAPUR,2001,9
CHHATTISGARH,DANTEWARA,2001,83
CHHATTISGARH,DHAMTARI,2001,14
CHHATTISGARH,DURG,2001,76
CHHATTISGARH,JANJGIR,2001,48
CHHATTISGARH,KANKER,2001,31
CHHATTISGARH,KAWARDHA,2001,19
CHHATTISGARH,RAIGARH,2001,50
CHHATTISGARH,RAIPUR,2001,92
CHHATTISGARH,SARGUJA,2001,105
GUJARAT,"AHMEDABAD COMMR.",2001,90
GUJARAT,HIMATNAGAR,2001,55
GUJARAT,"KHEDA NORTH",2001,42
GUJARAT,"RAJKOT COMMR.",2001,29
GUJARAT,"RAJKOT RURAL",2001,30
GUJARAT,"SURAT COMMR.",2001,98
GUJARAT,"SURAT RURAL",2001,62
GUJARAT,VALSAD,2001,44
HARYANA,FARIDABAD,2001,68
HARYANA,GURGAON,2001,69
HARYANA,PANCHKULA,2001,12
HARYANA,PANIPAT,2001,43
HARYANA,REWARI,2001,21
HARYANA,ROHTAK,2001,57
"JAMMU & KASHMIR",BARAMULLA,2001,144
"JAMMU & KASHMIR",BUDGAM,2001,78
"JAMMU & KASHMIR",JAMMU,2001,27
"JAMMU & KASHMIR",KULGAM,2001,39
"JAMMU & KASHMIR",KUPWARA,2001,141
"JAMMU & KASHMIR",POONCH,2001,100
"JAMMU & KASHMIR",PULWAMA,2001,46
"JAMMU & KASHMIR",SRINAGAR,2001,63
JHARKHAND,BOKARO,2001,70
JHARKHAND,CHAIBASA,2001,109
JHARKHAND,DHANBAD,2001,97
JHARKHAND,GUMLA,2001,136
JHARKHAND,JAMSHEDPUR,2001,81
JHARKHAND,LATEHAR,2001,54
JHARKHAND,RANCHI,2001,243
JHARKHAND,SIMDEGA,2001,49
KARNATAKA,"BANGALORE COMMR.",2001,221
KARNATAKA,BELGAUM,2001,120
KARNATAKA,KOPPAL,2001,23
"MADHYA PRADESH",GWALIOR,2001,84
"MADHYA PRADESH",JABALPUR,2001,103
"MADHYA PRADESH",SHIVPURI,2001,88
MAHARASHTRA,MUMBAI,2001,295
MAHARASHTRA,"NAGPUR COMMR.",2001,112
MAHARASHTRA,"PUNE RURAL",2001,119
MAHARASHTRA,SANGLI,2001,85
MAHARASHTRA,"THANE RURAL",2001,140
PUNJAB,G.R.P,2001,10
RAJASTHAN,BHARATPUR,2001,75
RAJASTHAN,JAIPUR,2001,91
TRIPURA,WEST,2001,125
"UTTAR PRADESH",ALIGARH,2001,229
"UTTAR PRADESH",ALLAHABAD,2001,167
"UTTAR PRADESH",BADAUN,2001,239
"UTTAR PRADESH",BAREILLY,2001,272
"UTTAR PRADESH",BULANDSHAHAR,2001,250
"UTTAR PRADESH",ETAH,2001,240
"UTTAR PRADESH",FATEHPUR,2001,132
"UTTAR PRADESH",GHAZIABAD,2001,230
"UTTAR PRADESH",GORAKHPUR,2001,96
"UTTAR PRADESH","KANPUR NAGAR",2001,210
"UTTAR PRADESH",KHIRI,2001,172
"UTTAR PRADESH",LUCKNOW,2001,166
"UTTAR PRADESH",MEERUT,2001,275
"UTTAR PRADESH",MORADABAD,2001,213
"UTTAR PRADESH",MUZAFFARNAGAR,2001,324
"UTTAR PRADESH",PILIBHIT,2001,115
"UTTAR PRADESH",SHAHJAHANPUR,2001,196
"UTTAR PRADESH",UNNAO,2001,147
UTTARAKHAND,HARIDWAR,2001,94
"WEST BENGAL","24 PARGANAS NORTH",2001,202
"WEST BENGAL",JALPAIGURI,2001,152
"WEST BENGAL",MURSHIDABAD,2001,130
"DELHI UT","DELHI UT TOTAL",2001,547
"DELHI UT","NORTH WEST",2001,134
"ANDHRA PRADESH",GUNTUR,2002,143
"ANDHRA PRADESH","HYDERABAD CITY",2002,117
"ANDHRA PRADESH",KARIMNAGAR,2002,160
"ANDHRA PRADESH",MAHABOOBNAGAR,2002,171
"ANDHRA PRADESH",WARANGAL,2002,131
BIHAR,BEGUSARAI,2002,138
BIHAR,GAYA,2002,218
BIHAR,NALANDA,2002,175
BIHAR,PATNA,2002,472
GUJARAT,"AHMEDABAD COMMR.",2002,222
"JAMMU & KASHMIR",BARAMULLA,2002,121
JHARKHAND,GUMLA,2002,108
JHARKHAND,RANCHI,2002,270
KARNATAKA,"BANGALORE COMMR.",2002,201
KARNATAKA,BELGAUM,2002,113
MAHARASHTRA,MUMBAI,2002,252
"UTTAR PRADESH",ALIGARH,2002,178
"UTTAR PRADESH",ALLAHABAD,2002,146
"UTTAR PRADESH",BADAUN,2002,206
"UTTAR PRADESH",BAREILLY,2002,237
"UTTAR PRADESH",BULANDSHAHAR,2002,217
"UTTAR PRADESH",GHAZIABAD,2002,231
"UTTAR PRADESH",MAINPURI,2002,123
"UTTAR PRADESH",MUZAFFARNAGAR,2002,287
"UTTAR PRADESH",UNNAO,2002,126
"WEST BENGAL","24 PARGANAS NORTH",2002,204
"DELHI UT","DELHI UT TOTAL",2002,531
"ANDHRA PRADESH",ANANTAPUR,2003,173
"ANDHRA PRADESH",CYBERABAD,2003,155
"ANDHRA PRADESH",MAHABOOBNAGAR,2003,191
"ANDHRA PRADESH",NALGONDA,2003,142
BIHAR,BEGUSARAI,2003,145
BIHAR,PATNA,2003,484
BIHAR,VAISHALI,2003,118
JHARKHAND,CHAIBASA,2003,129
KARNATAKA,"BANGALORE COMMR.",2003,216
MAHARASHTRA,MUMBAI,2003,242
MAHARASHTRA,"THANE RURAL",2003,149
"UTTAR PRADESH",ALIGARH,2003,156
"UTTAR PRADESH",BAREILLY,2003,194
"UTTAR PRADESH",GHAZIABAD,2003,176
"UTTAR PRADESH","KANPUR NAGAR",2003,187
"UTTAR PRADESH",MEERUT,2003,193
"UTTAR PRADESH",MUZAFFARNAGAR,2003,186
"DELHI UT","DELHI UT TOTAL",2003,485
"ANDHRA PRADESH",GUNTUR,2004,163
"ANDHRA PRADESH",MAHABOOBNAGAR,2004,183
BIHAR,MUZAFFARPUR,2004,180
BIHAR,NALANDA,2004,220
BIHAR,PATNA,2004,542
"MADHYA PRADESH",JHABUA,2004,139
MAHARASHTRA,MUMBAI,2004,253
"UTTAR PRADESH",BADAUN,2004,212
"UTTAR PRADESH",BULANDSHAHAR,2004,199
"UTTAR PRADESH",ETAH,2004,148
"UTTAR PRADESH",GHAZIABAD,2004,190
"UTTAR PRADESH",MEERUT,2004,225
"WEST BENGAL","24 PARGANAS NORTH",2004,177
"DELHI UT","DELHI UT TOTAL",2004,481
"ANDHRA PRADESH",CYBERABAD,2005,150
"ANDHRA PRADESH",GUNTUR,2005,165
"ANDHRA PRADESH",KARIMNAGAR,2005,164
BIHAR,PATNA,2005,436
"UTTAR PRADESH",BADAUN,2005,179
"UTTAR PRADESH",BAREILLY,2005,224
"UTTAR PRADESH",BULANDSHAHAR,2005,198
"UTTAR PRADESH",MORADABAD,2005,168
"UTTAR PRADESH",MUZAFFARNAGAR,2005,207
"DELHI UT","DELHI UT TOTAL",2005,455
"ANDHRA PRADESH",ANANTAPUR,2006,184
BIHAR,PATNA,2006,338
"UTTAR PRADESH",BADAUN,2006,169
"UTTAR PRADESH",MEERUT,2006,185
"WEST BENGAL","24 PARGANAS NORTH",2006,154
"DELHI UT","DELHI UT TOTAL",2006,476
BIHAR,PATNA,2007,317
JHARKHAND,RANCHI,2007,203
KARNATAKA,"BANGALORE COMMR.",2007,246
"UTTAR PRADESH",LUCKNOW,2007,159
"UTTAR PRADESH",MEERUT,2007,195
"DELHI UT","DELHI UT TOTAL",2007,495
"ANDHRA PRADESH",CYBERABAD,2008,197
"ANDHRA PRADESH",MAHABOOBNAGAR,2008,188
BIHAR,PATNA,2008,341
JHARKHAND,RANCHI,2008,209
"WEST BENGAL","24 PARGANAS NORTH",2008,192
"DELHI UT","DELHI UT TOTAL",2008,554
BIHAR,PATNA,2009,314
KARNATAKA,"BANGALORE COMMR.",2009,256
"UTTAR PRADESH",GHAZIABAD,2009,254
"DELHI UT","DELHI UT TOTAL",2009,552
BIHAR,PATNA,2010,304
KARNATAKA,"BANGALORE COMMR.",2010,266
MAHARASHTRA,"MUMBAI COMMR.",2010,228
"WEST BENGAL","24 PARGANAS NORTH",2010,244
"WEST BENGAL","24 PARGANAS SOUTH",2010,263
"WEST BENGAL","PASCHIM MIDNAPUR",2010,268
"DELHI UT","DELHI UT TOTAL",2010,565
BIHAR,PATNA,2011,248
KARNATAKA,"BANGALORE COMMR.",2011,232
"UTTAR PRADESH",AGRA,2011,181
"UTTAR PRADESH",MEERUT,2011,189
"WEST BENGAL","24 PARGANAS SOUTH",2011,247
"DELHI UT","DELHI UT TOTAL",2011,543
BIHAR,PATNA,2012,356
MAHARASHTRA,"MUMBAI COMMR.",2012,215
"WEST BENGAL",MURSHIDABAD,2012,174
"DELHI UT","DELHI UT TOTAL",2012,521
